공원명,도보점수,parking_score,구_list,인구점수_500m,인구점수_1000m,인구점수_2000m,총점_500m,총점_1000m,총점_2000m,한강_종합점수,rank,종합점수,종합점수_100
강서한강공원,0.0,30.08,[],,,,,59.02275,60.622,9.936633333333333,11,59.4225625,0.995
광나루한강공원,53.425,67.56,[],,,40.437,,168.66775,174.9835,50.1165,9,170.24668749999998,39.18461756921833
난지한강공원,49.315,76.72,[],,43.009,77.791,,185.8995,203.2905,52.986333333333334,6,190.24724999999998,55.958689498546924
뚝섬한강공원,68.493,78.96000000000001,[],,,19.247,,200.83575000000002,196.55650000000003,60.024633333333334,5,199.7659375,63.7512530461243
망원한강공원,60.274,49.28,[],,,17.868,,148.09675,143.128,49.0653,10,146.85456249999996,22.084737032250114
반포한강공원,60.274,92.75999999999999,[],,15.399,44.235,,207.1135,221.5315,58.692,3,210.718,72.02906210726654
양화한강공원,100.0,64.03999999999999,[],,,32.704,,209.96274999999997,212.41199999999998,76.84196666666666,4,210.57506249999994,71.92729080015751
여의도한강공원,86.301,100.0,[],,,26.318,,250.20375,249.46,75.38883333333332,1,250.0178125,91.98164577981244
이촌한강공원,64.384,66.84,[],,,29.304,,178.54675,179.296,55.8057,8,178.73406250000002,46.238263716323964
잠실한강공원,69.863,67.48,[],,23.736,57.034,,182.951,199.6,60.79846666666668,7,187.11324999999997,53.32379445087909
잠원한강공원,63.014,88.88,[],,31.875,24.272,,212.2715,208.47,59.32753333333333,2,211.32112499999997,72.45645341510269
