구,도보점수,parking_score,인구점수_500m,인구점수_1000m,인구점수_2000m,총점_500m,총점_1000m,총점_2000m,종합점수,종합점수_100,rank
강남구,60.265,0.0,,14.478,33.701,46.3182,39.0546,42.8992,43.79722,6.072055914593371,24
강동구,72.1855,0.0,,24.383499999999998,55.064499999999995,53.4705,48.188,54.324200000000005,51.971120000000006,25.4765038208563,19
강북구,73.5095,49.336,,,23.1995,64.1321,58.5287,58.61279999999999,61.899150000000006,67.17163912768984,13
강서구,75.71733333333333,37.666666666666664,,45.991,100.0,63.12293333333333,62.16193333333333,72.96373333333332,63.81871333333334,74.46276164296475,9
관악구,72.185,64.98,,,,66.4662,60.8628,63.047200000000004,64.44328000000002,76.63356422911033,8
광진구,74.172,45.58,98.25,37.4185,62.875,73.2692,61.1029,66.1942,68.91181000000002,88.82741506379797,1
구로구,66.556,34.42,,,34.403499999999994,56.9768,51.3734,53.698299999999996,54.96793,37.19157151342421,18
금천구,60.596,14.52,,,29.244999999999997,49.4208,43.81739999999999,45.11059999999999,47.30876,12.051089659612023,23
노원구,49.006499999999996,31.7,,,7.995,45.903099999999995,40.2997,37.3429,43.366060000000004,5.548723352057541,25
도봉구,87.417,36.396,,,31.064500000000002,69.8886,64.2852,65.9423,67.81295,86.3832241192576,3
동대문구,79.47,14.4,78.901,86.282,52.3325,66.34219999999999,67.8184,61.0285,66.25369,82.29468193314165,4
동작구,82.7815,56.16,,22.472,17.052,71.06009999999999,65.39529999999999,64.31129999999999,68.68578000000001,88.35355203350342,2
마포구,88.7415,12.14,,10.7405,47.795,65.8321,57.821,65.2319,63.368750000000006,72.83410393669757,10
서대문구,88.07900000000001,38.376,20.223,22.779,17.4115,64.5672,65.0784,64.0049,64.66433000000002,77.37592016158398,7
서초구,64.238,5.0,,35.488,68.339,49.702,46.6404,53.2106,49.13438000000001,16.53481689676644,20
성동구,75.16550000000001,18.22,70.6705,80.048,37.027,62.87740000000001,64.75290000000001,56.148700000000005,62.76718000000002,70.57678877421856,11
성북구,81.4565,23.616,,4.087,26.593,63.756299999999996,54.4145,58.915699999999994,60.46970000000001,61.24466128845228,14
송파구,68.543,66.48,,10.002,52.2595,64.581,56.422200000000004,64.87370000000001,62.162630000000014,68.22256803107094,12
양천구,69.2055,15.0,75.234,40.2555,47.147499999999994,59.5701,52.5744,53.952799999999996,56.90966,45.59407472378955,17
영등포구,83.11250000000001,10.0,,16.58,6.2175,62.026700000000005,55.18350000000001,53.111000000000004,59.08217000000001,55.221376470217386,16
용산,60.927,21.92,,17.07,40.771,51.099399999999996,44.3542,49.0944,48.87534,15.83747908116768,21
용산구,84.768,0.0,50.796,36.771,33.308,61.019999999999996,58.214999999999996,57.5224,59.82874,58.487062160984586,15
은평구,88.4105,23.616,,,14.1565,67.92869999999999,62.32529999999999,60.60079999999999,65.51489000000001,80.10115686865329,6
종로구,62.91366666666667,29.464,19.85,19.7545,22.167333333333332,47.611000000000004,47.5919,48.07446666666667,47.651616666666676,12.817137367161383,22
중구,44.0395,25.1,27.006,15.264499999999998,23.881,36.844899999999996,34.4966,36.219899999999996,36.07791,1.1972247132052474,26
중랑구,91.72200000000001,39.48,0.0,27.680500000000002,57.797,62.9292,68.4653,74.4886,65.74597000000001,80.80480524618301,5
