구,구평균_500m,구최고_500m,rank_평균_500m,rank_최고_500m,반경,구평균_1000m,구최고_1000m,rank_평균_1000m,rank_최고_1000m,구평균_2000m,구최고_2000m,rank_평균_2000m,rank_최고_2000m
강남구,45.3727,55.3063,23.0,23.0,500,,,,,,,,
강동구,52.525000000000006,54.9091,19.0,24.0,500,,,,,,,,
강북구,63.1866,66.7393,10.0,12.0,500,,,,,,,,
강서구,62.17743333333333,77.4773,14.0,2.0,500,,,,,,,,
관악구,65.5207,69.3459,7.0,8.0,500,,,,,,,,
광진구,68.05105,97.882,3.0,1.0,500,,,,,,,,
구로구,56.0313,57.511300000000006,17.0,21.0,500,,,,,,,,
금천구,48.475300000000004,48.7963,22.0,25.0,500,,,,,,,,
노원구,44.9576,67.3867,24.0,10.0,500,,,,,,,,
도봉구,68.94309999999999,71.14689999999999,2.0,6.0,500,,,,,,,,
동대문구,63.058949999999996,73.3958,11.0,5.0,500,,,,,,,,
동작구,70.1146,75.6667,1.0,3.0,500,,,,,,,,
마포구,64.88659999999999,65.23989999999999,8.0,16.0,500,,,,,,,,
서대문구,67.15174999999999,67.5642,5.0,9.0,500,,,,,,,,
서초구,48.7565,57.2929,21.0,22.0,500,,,,,,,,
성동구,62.877399999999994,73.7778,12.0,4.0,500,,,,,,,,
성북구,62.8108,66.7393,13.0,12.0,500,,,,,,,,
송파구,63.63550000000001,65.8721,9.0,15.0,500,,,,,,,,
양천구,56.653549999999996,64.75559999999999,16.0,17.0,500,,,,,,,,
영등포구,61.0812,61.6907,15.0,18.0,500,,,,,,,,
용산구,55.58695,61.019999999999996,18.0,19.0,500,,,,,,,,
은평구,66.9832,67.2271,6.0,11.0,500,,,,,,,,
종로구,51.1068,66.7393,20.0,12.0,500,,,,,,,,
중구,38.751149999999996,60.248599999999996,25.0,20.0,500,,,,,,,,
중랑구,67.53604999999999,70.1706,4.0,7.0,500,,,,,,,,
강남구,,,,,1000,39.94655,48.9882,24.0,24.0,,,,
강동구,,,,,1000,48.188,49.6316,19.0,23.0,,,,
강북구,,,,,1000,58.6524,62.2051,11.0,12.0,,,,
강서구,,,,,1000,59.149466666666655,72.94309999999999,10.0,5.0,,,,
관악구,,,,,1000,60.9865,64.8117,9.0,9.0,,,,
광진구,,,,,1000,61.1029,83.532,8.0,1.0,,,,
구로구,,,,,1000,51.4971,52.9771,17.0,22.0,,,,
금천구,,,,,1000,43.94109999999999,44.2621,22.0,25.0,,,,
노원구,,,,,1000,40.423399999999994,62.85249999999999,23.0,10.0,,,,
도봉구,,,,,1000,64.40889999999999,66.61269999999999,5.0,8.0,,,,
동대문구,,,,,1000,61.529949999999985,74.87199999999999,7.0,3.0,,,,
동작구,,,,,1000,65.48785,71.1325,2.0,6.0,,,,
마포구,,,,,1000,57.821,60.322399999999995,12.0,17.0,,,,
서대문구,,,,,1000,65.14025,68.07539999999999,3.0,7.0,,,,
서초구,,,,,1000,45.431349999999995,55.1768,21.0,21.0,,,,
성동구,,,,,1000,64.7529,73.7778,4.0,4.0,,,,
성북구,,,,,1000,56.34555,62.2051,14.0,12.0,,,,
송파구,,,,,1000,56.422200000000004,60.3732,13.0,15.0,,,,
양천구,,,,,1000,52.5744,60.339999999999996,16.0,16.0,,,,
영등포구,,,,,1000,55.86525,55.9375,15.0,20.0,,,,
용산구,,,,,1000,51.2846,58.214999999999996,18.0,19.0,,,,
은평구,,,,,1000,62.449,62.69289999999999,6.0,11.0,,,,
종로구,,,,,1000,47.83476666666667,62.2051,20.0,12.0,,,,
중구,,,,,1000,34.4966,59.6506,25.0,18.0,,,,
중랑구,,,,,1000,68.4653,77.1332,1.0,2.0,,,,
강남구,,,,,2000,,,,,42.8992,56.4522,23.0,21.0
강동구,,,,,2000,,,,,54.3242,56.6778,15.0,20.0
강북구,,,,,2000,,,,,58.6128,60.6584,13.0,14.0
강서구,,,,,2000,,,,,64.63333333333333,75.76799999999999,6.0,3.0
관악구,,,,,2000,,,,,63.811400000000006,67.6366,9.0,7.0
광진구,,,,,2000,,,,,66.1942,88.7418,2.0,1.0
구로구,,,,,2000,,,,,53.6983,55.608200000000004,17.0,22.0
금천구,,,,,2000,,,,,45.1106,46.663199999999996,22.0,25.0
노원구,,,,,2000,,,,,40.2956,59.772000000000006,24.0,18.0
도봉구,,,,,2000,,,,,65.94229999999999,71.22619999999999,3.0,5.0
동대문구,,,,,2000,,,,,61.028499999999994,74.37719999999999,10.0,4.0
동작구,,,,,2000,,,,,64.3113,68.6484,7.0,6.0
마포구,,,,,2000,,,,,65.2319,66.3474,4.0,10.0
서대문구,,,,,2000,,,,,64.00489999999999,67.3514,8.0,8.0
서초구,,,,,2000,,,,,50.1289,61.747,20.0,11.0
성동구,,,,,2000,,,,,56.1487,61.4902,14.0,12.0
성북구,,,,,2000,,,,,58.9157,60.6584,12.0,14.0
송파구,,,,,2000,,,,,64.8737,66.485,5.0,9.0
양천구,,,,,2000,,,,,53.952799999999996,53.9794,16.0,23.0
영등포구,,,,,2000,,,,,53.111000000000004,53.745000000000005,19.0,24.0
용산구,,,,,2000,,,,,53.3084,57.5224,18.0,19.0
은평구,,,,,2000,,,,,60.60079999999999,60.6584,11.0,14.0
종로구,,,,,2000,,,,,48.074466666666666,60.6584,21.0,14.0
중구,,,,,2000,,,,,36.219899999999996,61.14139999999999,25.0,13.0
중랑구,,,,,2000,,,,,74.48859999999999,79.637,1.0,2.0
