District,인구가중점수_std_mean,rank_pop_district
광진구,94.16140559369435,1
성동구,90.65568593314615,2
양천구,82.81940332889207,3
용산구,79.35375727076746,4
동대문구,68.36298522257775,5
구로구,62.51454982487121,6
강동구,58.143711377421035,7
도봉구,54.903809252383326,8
금천구,52.68833818601051,9
서초구,45.34228531572252,10
중랑구,43.288553076343796,11
강북구,42.05053188466665,12
용산,41.14815706113453,13
강서구,39.794033880827094,14
송파구,37.16253026979751,15
마포구,36.2899460498708,16
강남구,35.43915367266944,17
중구,33.21439106704942,18
서대문구,32.794429642864856,19
동작구,30.873063966866788,20
종로구,30.77992156147202,21
은평구,25.982552889569384,22
성북구,25.83350067882828,23
영등포구,23.339642177048113,24
노원구,15.143544634174358,25
관악구,12.915934619612779,26
