공원명,평균거리_500m,평균거리_1000m,평균거리_2000m,인구점수_500m,인구점수_1000m,인구점수_2000m,final_walk_min,도보점수,구,parking_score,총점_500m,총점_1000m,총점_2000m,rank_500m,rank_1000m,rank_2000m
강서한강공원,,,,,,,24.5,0.0,,30.08,6.016,11.577100000000002,12.2168,11,11,11
광나루한강공원,,,1322.4898380716122,,,40.437,14.75,53.425,,67.56,45.567,51.1281,53.6544,9,10,9
난지한강공원,,586.1135523242018,864.4684912392327,,43.009,77.791,15.5,49.315,,76.72,44.933,53.5348,60.4912,10,8,6
뚝섬한강공원,,,1582.3071103093407,,,19.247,12.0,68.493,,78.96000000000001,56.8878,62.4489,60.7372,3,3,5
망원한강공원,,,1599.2206471306865,,,17.868,13.5,60.274,,49.28,46.0204,51.581500000000005,49.594,8,9,10
반포한강공원,,823.1625611265715,1275.920975636441,,15.399,44.235,13.5,60.274,,92.75999999999999,54.7164,57.7962,63.5634,6,6,4
양화한강공원,,,1417.3089018148776,,,32.704,6.25,100.0,,64.03999999999999,72.80799999999999,78.3691,79.34880000000001,1,1,1
여의도한강공원,,,1495.6128623650848,,,26.318,8.75,86.301,,100.0,71.78059999999999,77.3417,77.0442,2,2,2
이촌한강공원,,,1458.994842792717,,,29.304,12.75,64.384,,66.84,51.998400000000004,57.55950000000001,57.8592,7,7,8
잠실한강공원,,751.590334481333,1118.9857372206425,,23.736,57.034,11.75,69.863,,67.48,55.4138,60.161,66.82060000000001,5,5,3
잠원한강공원,,681.7083039482599,1520.698166444143,,31.875,24.272,13.0,63.014,,88.88,55.5844,61.9594,60.4388,4,4,7
