공원명,final_walk_min,도보점수,parking_score,총점_500m,총점_1000m,총점_2000m,총점_overall,rank_overall
어린이대공원,1.5,100.0,91.16,97.882,83.532,88.7418,92.66298,1
서울식물원,7.5,84.106,89.0,77.4773,72.94309999999999,75.76799999999999,75.94610999999999,2
용두근린공원(용두공원),3.0,96.026,0.0,73.3958,74.87199999999999,74.37719999999999,73.9368,3
국립서울현충원,6.5,86.755,72.0,75.6667,71.1325,68.6484,73.60461000000002,4
중랑캠핑숲(중랑가족캠핑장),2.5,97.351,58.8,70.1706,77.1332,79.637,73.20602000000001,5
서울숲,10.0,77.483,36.44,73.7778,73.7778,61.4902,72.54904,6
서울창포원,3.5,94.702,25.56,71.14689999999999,66.61269999999999,71.22619999999999,69.79457,7
서울대공원,14.0,66.887,100.0,69.3459,64.8117,67.6366,67.81471000000002,8
독립공원(서대문독립공원),3.0,96.026,29.52,67.5642,68.07539999999999,67.3514,67.69628,9
불암산도시자연공원(불암산),6.5,86.755,30.6,67.3867,62.85249999999999,59.772000000000006,65.26497,10
진관근린공원(구파발폭포/이말산),2.75,96.689,0.0,67.2271,62.69289999999999,60.54319999999999,65.19845000000001,11
북한산국립공원(북한산),9.0,80.132,47.232,66.7393,62.2051,60.6584,64.77095000000001,12
송파나루근린공원(석촌호수),7.75,83.444,32.96,65.8721,60.3732,66.485,64.28372000000002,13
사가정공원(용마산),6.75,86.093,20.16,64.9015,59.797399999999996,69.3402,63.81414,14
경의선숲길,4.0,93.377,0.0,65.23989999999999,60.322399999999995,64.1164,63.6523,15
보라매공원,9.5,78.808,40.32,64.5625,59.8432,59.9742,62.68788000000001,16
파리근린공원(파리공원),11.75,72.848,30.0,64.75559999999999,60.339999999999996,53.9794,62.35329999999999,17
문화비축기지,7.5,84.106,24.28,64.5333,55.319599999999994,66.3474,61.95060000000001,18
방화근린공원,6.0,88.079,0.0,62.061099999999996,57.52689999999999,60.3518,60.529909999999994,19
관악산공원(관악산),10.0,77.483,29.96,61.69550000000001,57.1613,59.98620000000001,60.164310000000015,20
서울로 7017,6.0,88.079,10.0,60.248599999999996,59.6506,61.14139999999999,60.15848,21
효창근린공원(효창공원),7.25,84.768,0.0,61.019999999999996,58.214999999999996,57.5224,59.82874,22
선유도공원,8.75,80.795,20.0,61.6907,55.793,52.477,59.000020000000006,23
올림픽공원,19.0,53.642,100.0,61.398900000000005,52.4712,63.2624,58.906940000000006,24
여의도공원(여의도도시근린공원),7.0,85.43,0.0,60.471700000000006,55.9375,53.745000000000005,58.43877000000001,25
북서울꿈의숲,14.0,66.887,51.44,59.6339,55.0997,56.5672,57.96697,26
매헌시민의숲,9.0,80.132,0.0,57.2929,55.1768,61.747,57.10348000000001,27
청량근린공원(천장산),8.0,82.781,0.0,58.88230000000001,50.486000000000004,57.173,56.19248000000001,28
푸른수목원,13.0,69.536,32.88,57.511300000000006,52.9771,55.608200000000004,55.960730000000005,29
도산근린공원,10.25,76.821,0.0,55.3063,48.9882,56.4522,53.52546000000001,30
길동생태공원,10.5,76.159,0.0,54.9091,49.6316,56.6778,53.502720000000004,31
달맞이근린공원,11.75,72.848,0.0,51.977,55.727999999999994,50.807199999999995,52.98532,32
고척근린공원,15.25,63.576,35.96,54.551300000000005,50.0171,51.7884,52.91475000000001,33
배봉산근린공원(배봉산),15.5,62.914,28.8,52.7221,48.18789999999999,47.67979999999999,50.85761,34
일자산허브천문공원,13.5,68.212,0.0,50.1409,46.7444,51.9706,49.30492000000001,35
용산가족공원,16.25,60.927,21.92,50.1539,44.3542,49.0944,48.30804000000001,36
우장산근린공원(우장산/우장산근린공원),18.5,54.967,24.0,46.9939,46.97839999999999,57.780199999999994,48.067879999999995,37
서서울호수공원,14.5,65.563,0.0,48.551500000000004,44.808800000000005,53.9262,47.96616000000001,38
낙산공원,15.5,62.914,21.16,45.950399999999995,47.858999999999995,50.974999999999994,47.025439999999996,39
금천체육공원,18.0,56.291,29.04,48.7963,44.2621,43.558,46.91221000000001,40
금천폭포근린공원,14.75,64.901,0.0,48.1543,43.620099999999994,46.663199999999996,46.64493,41
아차산공원(아차산),21.0,48.344,0.0,38.2201,38.6738,43.6466,38.898860000000006,42
청계산도시자연공원(청계산),21.0,48.344,10.0,40.2201,35.6859,38.5108,38.68891000000001,43
인왕산도시자연공원(인왕산),22.0,45.695,20.0,40.6307,33.4402,32.589999999999996,37.66948000000001,44
율현공원,22.75,43.709,0.0,35.4391,30.9049,29.3462,33.46955000000001,45
수락산도시자연공원(수락산),35.0,11.258,32.8,22.5285,17.9943,20.8192,20.997310000000006,46
남산공원,39.25,0.0,40.2,17.253700000000002,9.342600000000001,11.2984,14.284840000000003,47
