공원명,종합_여가도_점수,축제_정규화_점수,운동_정규화_점수
여의도한강공원,73.04236056589039,100.0,46.084721131780775
잠원한강공원,61.745351664739964,23.490703329479913,100.00000000000001
난지한강공원,57.27913103671115,14.55826207342228,100.00000000000001
잠실한강공원,57.27913103671115,14.55826207342228,100.00000000000001
광나루한강공원,39.4244762228978,6.5599261405732205,72.28902630522238
반포한강공원,32.534683446391014,43.29830010293827,21.77106678984375
뚝섬한강공원,27.444402874091008,33.117738958338265,21.77106678984375
양화한강공원,26.322323636176996,6.5599261405732205,46.084721131780775
강서한강공원,14.165496465208486,6.5599261405732205,21.77106678984375
이촌한강공원,14.165496465208486,6.5599261405732205,21.77106678984375
망원한강공원,0.0,0.0,0.0
