자치구,pmshelter_count_score,pmshelter_total_capacity_score,pmshelter_mean_score
강남구,100.0,57.94392523364486,74.76635514018692
강동구,9.677419354838708,29.53271028037383,21.590593910159782
강북구,9.677419354838708,28.037383177570092,20.69339764847754
강서구,61.29032258064516,78.50467289719626,71.61893277057581
관악구,6.451612903225805,84.11214953271028,53.047934880916486
광진구,58.064516129032256,45.046728971962615,50.25384383479047
구로구,48.387096774193544,57.00934579439252,53.56044618631293
금천구,0.0,0.9345794392523363,0.5607476635514018
노원구,58.064516129032256,33.64485981308411,43.41272233946337
도봉구,6.451612903225805,6.728971962616822,6.618028338860415
동대문구,74.19354838709677,93.0841121495327,85.52788664455832
동작구,6.451612903225805,3.3644859813084107,4.599336750075368
마포구,9.677419354838708,44.85981308411215,30.786855592402773
서대문구,32.25806451612903,27.47663551401869,29.389207114862828
서초구,6.451612903225805,14.953271028037383,11.552607778112751
성동구,12.903225806451612,51.401869158878505,36.00241181790775
성북구,0.0,0.0,0.0
송파구,0.0,0.0,0.0
영등포구,6.451612903225805,9.532710280373832,8.300271329514622
용산구,9.677419354838708,9.345794392523365,9.478444377449502
은평구,6.451612903225805,14.953271028037383,11.552607778112751
종로구,6.451612903225805,28.971962616822427,19.96382273138378
중구,9.677419354838708,46.728971962616825,31.90835091950558
중랑구,48.387096774193544,99.99999999999999,79.35483870967741
