gu,quakeoutshelter_count_score,quakeoutshelter_total_area_score,quakeoutshelter_avg_area_score,quakeoutshelter_mean_score
강남구,100.0,55.79058498169003,10.02887388689928,55.273152956196434
강동구,33.663366336633665,25.832659486409025,20.016214488243385,26.50408010376202
강북구,31.683168316831683,100.0,100.00000000000001,77.22772277227723
강서구,96.03960396039605,55.92469764139035,11.194134769218692,54.3861454570017
관악구,82.17821782178217,40.45614628609256,7.575201437478228,43.403188515117655
광진구,19.801980198019805,31.593030419790917,43.04009977036537,31.478370129392033
구로구,28.712871287128714,9.297764723332477,5.832298775151088,14.614311595204093
금천구,30.693069306930695,4.916010011868899,0.0,11.869693106266531
노원구,59.40594059405941,28.917954293617502,8.30581525705555,32.20990338157748
도봉구,35.64356435643565,14.360609099452486,7.254017730621623,19.08606372883659
동대문구,30.693069306930695,9.526079916509591,4.966678957201022,15.061942726880437
동작구,24.75247524752475,24.949317235686184,27.520322494007743,25.740704992406226
마포구,46.53465346534653,20.368729599888315,7.289106871552242,24.730829978929034
서대문구,22.772277227722775,20.122528027857154,23.68574474669265,22.19351666742419
서초구,58.41584158415842,77.65995502933733,42.35560750917493,59.4771347075569
성동구,39.603960396039604,23.518688381002665,13.635006577366603,25.585885118136293
성북구,50.495049504950494,28.599503572068873,11.951766357713339,30.348773144910904
송파구,65.34653465346534,89.42485792923861,44.51508966565635,66.4288274161201
양천구,63.36633663366337,63.305819363616436,29.16535923734407,51.945838411541295
영등포구,51.48514851485148,51.61171612698399,28.933541224192417,44.01013528867597
용산구,29.7029702970297,16.489805889867753,13.171664983910794,19.788147056936083
은평구,42.57425742574257,44.55200038953184,30.187243556148836,39.104500457141086
종로구,23.762376237623762,64.16931913268373,77.80334458608726,55.24501331879825
중구,0.0,0.0,21.887975843964085,7.295991947988028
중랑구,31.683168316831683,30.45708352671544,26.54670102308517,29.56231762221076
