자치구,firestation_count_score,firestation_ratio_score,firestation_mean_score
강남구,0.0,100.0,50.0
강동구,0.0,100.0,50.0
강북구,0.0,100.0,50.0
강서구,0.0,100.0,50.0
관악구,50.0,16.666666666666664,33.33333333333333
광진구,0.0,100.0,50.0
구로구,100.0,0.0,50.0
금천구,25.0,37.5,31.25
노원구,0.0,100.0,50.0
도봉구,50.0,16.666666666666664,33.33333333333333
동대문구,0.0,100.0,50.0
동작구,25.0,37.5,31.25
마포구,0.0,100.0,50.0
서대문구,0.0,100.0,50.0
서초구,25.0,37.5,31.25
성동구,0.0,100.0,50.0
성북구,0.0,100.0,50.0
송파구,0.0,100.0,50.0
양천구,25.0,37.5,31.25
영등포구,25.0,37.5,31.25
용산구,0.0,100.0,50.0
은평구,0.0,100.0,50.0
종로구,50.0,16.666666666666664,33.33333333333333
중구,75.0,37.5,56.25
